,job_title
Data Scientist,59
Data Engineer,38
Machine Learning Engineer,20
Data Analyst,20
Research Scientist,10
Data Science Consultant,7
Big Data Engineer,6
Data Science Manager,5
Lead Data Engineer,5
BI Data Analyst,5
AI Scientist,5
Principal Data Scientist,5
Director of Data Science,4
Machine Learning Scientist,4
Data Engineering Manager,3
Business Data Analyst,3
ML Engineer,3
Data Analytics Engineer,3
Lead Data Analyst,3
Data Analytics Manager,3
Computer Vision Engineer,3
Computer Vision Software Engineer,2
Lead Data Scientist,2
Principal Data Engineer,2
Cloud Data Engineer,2
Machine Learning Infrastructure Engineer,2
Head of Data Science,2
Head of Data,2
Data Science Engineer,2
Director of Data Engineering,2
Financial Data Analyst,1
Manager Data Science,1
Applied Machine Learning Scientist,1
Finance Data Analyst,1
Product Data Analyst,1
3D Computer Vision Researcher,1
Staff Data Scientist,1
Applied Data Scientist,1
Data Architect,1
Marketing Data Analyst,1
Big Data Architect,1
Principal Data Analyst,1
Data Specialist,1
